saddr,daddr,sport
195.181.255.139,,http80
185.81.76.8,,http80
185.81.77.250,,http80
185.142.11.99,,http80
185.81.76.225,,http80
185.142.11.49,,http80
195.181.255.94,,http80
195.181.255.72,,http80
80.209.255.150,,http80
185.81.77.227,,http80
185.142.10.1,,http80
185.142.11.157,,http80
80.209.255.229,,http80
212.237.255.110,,http80
80.209.255.201,,http80
185.81.76.14,,http80
80.209.255.120,,http80
185.81.76.104,,http80
80.209.255.61,,http80
185.81.78.147,,http80
80.209.255.7,,http80
95.214.111.81,,http80
80.209.255.45,,http80
185.81.79.116,,http80
185.142.11.129,,http80
185.81.79.99,,http80
185.81.78.67,,http80
212.237.255.188,,http80
185.81.78.203,,http80
212.237.255.45,,http80
185.81.78.141,,http80
185.81.79.135,,http80
195.181.255.67,,http80
80.209.255.239,,http80
195.181.255.102,,http80
185.81.76.230,,http80
185.81.77.39,,http80
185.81.78.97,,http80
195.181.255.220,,http80
185.81.79.28,,http80
185.81.78.123,,http80
195.181.255.196,,http80
80.209.255.192,,http80
185.81.77.4,,http80
80.209.255.47,,http80
185.81.77.127,,http80
185.81.76.112,,http80
185.81.76.118,,http80
185.81.76.48,,http80
185.81.76.136,,http80
185.81.79.200,,http80
195.181.255.205,,http80
185.81.76.76,,http80
185.81.77.201,,http80
195.181.255.39,,http80
80.209.255.77,,http80
80.209.255.212,,http80
185.142.11.140,,http80
185.142.11.112,,http80
185.81.78.34,,http80
185.81.76.126,,161
185.81.78.22,,ftp21
185.142.11.106,,ftp21
185.81.78.6,,ftp21
185.81.79.185,,ftp21
185.81.78.147,,ftp21
185.81.78.4,,ftp21
185.81.76.250,,ftp21
195.181.255.109,,ftp21
185.142.11.149,,ftp21
80.209.255.108,,ftp21
185.81.79.174,,ftp21
185.81.79.138,,ftp21
185.81.78.217,,ftp21
95.214.109.72,,ftp21
185.81.79.155,,ftp21
185.81.79.194,,ftp21
185.81.79.214,,ftp21
185.81.79.200,,ftp21
185.81.79.135,,ftp21
185.81.79.28,,ftp21
185.81.79.241,,ftp21
185.81.79.252,,ftp21
185.81.79.162,,ftp21
185.81.78.7,,ftp21
185.81.76.61,,ftp21
185.81.76.126,,ftp21
185.81.79.168,,ftp21
185.81.78.226,,ftp21
185.81.77.105,,ftp21
185.81.79.173,,ftp21
185.81.79.225,,ftp21
185.81.79.216,,ftp21
185.81.79.147,,ftp21
185.81.79.175,,ftp21
185.81.79.190,,ftp21
185.81.76.34,,ftp21
185.81.79.156,,ftp21
185.81.78.190,,ftp21
185.81.79.191,,ftp21
185.81.77.218,,http8080
185.81.79.13,,http8080
185.142.11.67,,http8080
185.81.76.126,,http8080
185.142.11.80,,http8080
185.81.79.155,,http8080
185.81.79.214,,http8080
185.142.11.49,,http8080
185.142.11.81,,http8080
185.81.78.203,,imap143
185.142.11.75,,imap143
185.142.11.71,,imap143
185.142.11.74,,imap143
80.209.255.23,,imap143
185.142.11.79,,imap143
185.81.79.45,,imap143
185.142.11.76,,imap143
185.81.78.217,,imap143
185.81.79.28,,imap143
80.209.255.108,,imap143
185.81.76.126,,imap143
185.81.79.225,,5060
185.142.11.101,,5060
185.142.11.99,,5060
185.81.79.194,,5060
185.81.79.252,,5060
185.81.78.6,,5060
185.81.79.174,,5060
185.81.79.155,,5060
185.81.79.175,,5060
185.81.79.214,,5060
185.142.11.174,,5060
185.81.79.138,,5060
185.142.11.75,,5060
185.81.79.135,,5060
185.81.78.7,,5060
185.142.11.103,,5060
185.142.11.102,,5060
185.81.78.185,,5060
185.81.79.241,,5060
185.81.76.126,,5060
185.81.79.168,,5060
185.81.79.173,,5060
185.81.79.147,,5060
185.81.79.185,,5060
185.142.11.74,,5060
185.81.79.156,,5060
185.81.79.200,,5060
185.81.78.4,,5060
185.81.79.216,,5060
185.81.78.22,,5060
185.142.11.85,,5060
185.81.79.191,,5060
185.142.11.100,,5060
185.81.79.190,,5060
185.81.79.162,,5060
212.237.255.6,,ssh22
185.142.11.36,,ssh22
185.142.11.74,,ssh22
185.142.11.101,,ssh22
185.81.79.155,,ssh22
185.81.79.174,,ssh22
185.142.11.67,,ssh22
185.81.79.173,,ssh22
185.81.78.6,,ssh22
185.81.79.200,,ssh22
185.81.79.214,,ssh22
185.81.78.147,,ssh22
185.142.11.157,,ssh22
185.81.79.216,,ssh22
185.142.11.99,,ssh22
185.81.79.135,,ssh22
185.142.11.132,,ssh22
185.81.78.4,,ssh22
185.142.11.103,,ssh22
185.81.79.225,,ssh22
185.81.79.190,,ssh22
95.214.109.53,,ssh22
185.81.77.4,,ssh22
185.81.78.22,,ssh22
185.81.76.34,,ssh22
185.81.79.168,,ssh22
185.142.11.105,,ssh22
185.81.76.250,,ssh22
185.81.79.194,,ssh22
185.81.79.185,,ssh22
185.81.78.7,,ssh22
185.142.11.107,,ssh22
185.81.79.13,,ssh22
185.81.79.252,,ssh22
185.142.11.75,,ssh22
185.142.11.102,,ssh22
185.81.79.147,,ssh22
185.142.11.149,,ssh22
185.81.78.34,,ssh22
185.81.76.126,,ssh22
185.142.11.80,,ssh22
195.181.255.137,,ssh22
185.81.79.241,,ssh22
185.81.79.156,,ssh22
185.81.79.138,,ssh22
185.81.79.162,,ssh22
185.81.78.226,,ssh22
185.81.77.105,,ssh22
185.81.79.191,,ssh22
185.142.11.100,,ssh22
185.81.79.175,,ssh22
185.142.11.168,,ssh22
185.142.11.85,,ssh22
212.237.255.34,,ssh22
185.142.11.149,,http8443
185.81.76.126,,http8443
185.142.11.150,,http8443
185.81.76.133,,http8443
185.81.78.136,,http8443
185.142.11.154,,http8443
185.81.78.206,,http8443
185.142.11.146,,http8443
185.142.11.142,,http8443
185.142.11.155,,http8443
185.142.11.139,,http8443
185.142.11.151,,http8443
185.142.11.152,,http8443
185.142.11.88,,http443
185.81.78.190,,http443
185.81.76.126,,http443
185.142.11.7,,http443
185.142.11.171,,http443
185.142.11.85,,http443
80.209.255.108,,http443
185.142.11.48,,http443
185.142.10.1,,http443
185.142.11.172,,http443
185.142.11.49,,http443
185.142.11.3,,http443
185.142.11.142,,http443
185.142.11.101,,http443
185.81.79.45,,http443
95.214.108.101,,http443
185.81.76.85,,http443
185.142.11.6,,http443
185.142.11.71,,http443
185.142.11.9,,http443
185.142.11.46,,http443
185.142.11.56,,http443
185.142.11.35,,http443
95.214.109.53,,http443
185.142.11.99,,http443
185.142.11.150,,http443
185.142.11.52,,http443
185.142.11.136,,http443
80.209.255.23,,http443
185.142.11.158,,http443
185.142.11.74,,http443
185.142.11.92,,http443
185.142.11.130,,http443
185.81.78.217,,http443
185.142.11.180,,http443
185.142.11.139,,http443
