saddr,daddr,sport
212.237.255.5,192.168.211.122,80
95.214.108.247,192.168.211.122,80
185.142.10.115,192.168.211.122,80
185.142.10.109,192.168.211.122,80
185.81.78.52,192.168.211.122,80
80.209.255.205,192.168.211.122,80
95.214.111.222,192.168.211.122,80
185.142.11.171,192.168.211.122,80
195.181.255.2,192.168.211.122,80
80.209.255.44,192.168.211.122,80
185.81.79.45,192.168.211.122,80
185.142.11.126,192.168.211.122,80
80.209.255.84,192.168.211.122,80
185.142.11.152,192.168.211.122,80
185.81.79.116,192.168.211.122,80
185.81.78.69,192.168.211.122,80
185.142.11.131,192.168.211.122,80
212.237.255.118,192.168.211.122,80
80.209.255.120,192.168.211.122,80
95.214.111.177,192.168.211.122,80
95.214.111.29,192.168.211.122,80
185.142.10.239,192.168.211.122,80
95.214.111.89,192.168.211.122,80
185.81.76.234,192.168.211.122,80
95.214.108.33,192.168.211.122,80
195.181.255.5,192.168.211.122,80
95.214.111.126,192.168.211.122,80
80.209.255.76,192.168.211.122,80
185.142.11.88,192.168.211.122,80
95.214.111.209,192.168.211.122,80
185.81.78.212,192.168.211.122,80
185.81.77.37,192.168.211.122,80
185.142.10.91,192.168.211.122,80
185.142.11.142,192.168.211.122,80
95.214.111.23,192.168.211.122,80
95.214.110.149,192.168.211.122,80
95.214.110.165,192.168.211.122,80
95.214.111.8,192.168.211.122,80
95.214.108.161,192.168.211.122,80
185.142.11.84,192.168.211.122,80
185.142.8.161,192.168.211.122,80
185.142.11.59,192.168.211.122,80
95.214.109.174,192.168.211.122,80
95.214.108.9,192.168.211.122,80
80.209.255.252,192.168.211.122,80
80.209.255.71,192.168.211.122,80
185.142.8.119,192.168.211.122,80
185.142.8.188,192.168.211.122,80
185.81.79.226,192.168.211.122,80
185.81.78.71,192.168.211.122,80
185.81.77.197,192.168.211.122,80
80.209.255.135,192.168.211.122,80
95.214.108.80,192.168.211.122,80
185.142.8.1,192.168.211.122,80
185.142.11.135,192.168.211.122,80
185.142.10.78,192.168.211.122,80
95.214.109.80,192.168.211.122,80
212.237.255.52,192.168.211.122,80
185.81.76.4,192.168.211.122,80
95.214.109.244,192.168.211.122,80
185.142.9.0,192.168.211.122,80
95.214.109.16,192.168.211.122,80
95.214.108.200,192.168.211.122,80
185.81.76.243,192.168.211.122,80
185.81.77.51,192.168.211.122,80
195.181.255.212,192.168.211.122,80
